symbol,snapshot_date,ess_numeric,ess_direction,zacks_direction,jefferson_direction,mclean_direction,signal_pattern,has_conflict,forward_return_30d,forward_return_60d,benchmark_return_30d,winner_loser,ess_correct
AIT,2025-08-18,8.9,BULLISH,NEUTRAL,BULLISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.010901,-0.055039,0.023657,LOSER,False
AKAM,2025-08-18,9.1,BULLISH,NEUTRAL,BULLISH,NO_DATA,ESS_BULLISH_ANALYST_MIXED,False,0.007439,-0.032147,0.023657,NEUTRAL,False
AKBA,2025-08-18,8.1,BULLISH,NEUTRAL,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,True,-0.099678,-0.057878,0.023657,LOSER,False
ALEX,2025-08-18,7.9,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,,,0.023657,NO_DATA,
ALG,2025-08-18,9.8,BULLISH,NEUTRAL,BULLISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.103418,-0.195029,0.023657,LOSER,False
ALGN,2025-08-18,8.2,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.106941,-0.099972,0.023657,LOSER,False
ALIT,2025-08-18,8.1,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.121715,-0.230529,0.023657,LOSER,False
ALL,2025-08-18,9.4,BULLISH,NEUTRAL,NO_DATA,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.042818,-0.049515,0.023657,LOSER,False
ALLE,2025-08-18,9.9,BULLISH,BULLISH,BULLISH,BULLISH,ESS_BULLISH_ANALYST_FULL_AGREE,False,0.05628,0.061543,0.023657,WINNER,True
ALNT,2025-08-18,8.7,BULLISH,NEUTRAL,BULLISH,NO_DATA,ESS_BULLISH_ANALYST_MIXED,False,0.029659,0.105772,0.023657,NEUTRAL,False
ALRS,2025-08-18,7.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.055195,-0.017367,0.023657,WINNER,True
ALSN,2025-08-18,8.4,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.00917,-0.082245,0.023657,LOSER,False
ALV,2025-08-18,9.6,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.057706,-0.00122,0.023657,WINNER,True
AMAT,2025-08-18,7.1,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.092402,0.379776,0.023657,WINNER,True
AMGN,2025-08-18,8.5,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.05359,0.029438,0.023657,LOSER,False
AMN,2025-08-18,8.5,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.021616,0.012352,0.023657,LOSER,False
AMRN,2025-08-18,9.0,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.097093,0.214595,0.023657,LOSER,False
AN,2025-08-18,8.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.064292,0.036345,0.023657,WINNER,True
ANET,2025-08-18,8.5,BULLISH,BULLISH,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.034773,0.036656,0.023657,NEUTRAL,False
ANGI,2025-08-18,8.1,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.029041,-0.266849,0.023657,LOSER,False
ANGO,2025-08-18,9.6,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.233485,0.314351,0.023657,WINNER,True
ANIK,2025-08-18,9.1,BULLISH,NEUTRAL,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,True,-0.003452,0.055236,0.023657,LOSER,False
ANIP,2025-08-18,7.5,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.062981,0.056627,0.023657,WINNER,True
AOS,2025-08-18,8.0,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.013444,-0.033818,0.023657,NEUTRAL,False
APA,2025-08-18,8.5,BULLISH,NEUTRAL,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.183733,0.103381,0.023657,WINNER,True
APAM,2025-08-18,9.4,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.021041,-0.063124,0.023657,LOSER,False
APEI,2025-08-18,8.3,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.231085,0.251969,0.023657,WINNER,True
APG,2025-08-18,7.8,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.023917,-0.036578,0.023657,LOSER,False
APH,2025-08-18,8.8,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.067658,0.132938,0.023657,WINNER,True
APLE,2025-08-18,8.2,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.02422,-0.043449,0.023657,NEUTRAL,False
APO,2025-08-18,7.3,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.004089,-0.129206,0.023657,LOSER,False
APOG,2025-08-18,7.6,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.038408,-0.115456,0.023657,LOSER,False
APP,2025-08-18,7.9,BULLISH,BULLISH,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_FULL_AGREE,False,0.383363,0.366603,0.023657,WINNER,True
APTV,2025-08-18,9.5,BULLISH,NEUTRAL,BULLISH,NO_DATA,ESS_BULLISH_ANALYST_MIXED,False,0.094703,0.093119,0.023657,WINNER,True
ARAY,2025-08-18,9.1,BULLISH,NEUTRAL,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,True,-0.018519,0.04321,0.023657,LOSER,False
ARCT,2025-08-18,7.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.007817,0.153546,0.023657,NEUTRAL,False
ARI,2025-08-18,8.2,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.047857,0.020041,0.023657,WINNER,True
ARR,2025-08-18,7.7,BULLISH,BEARISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MAJORITY_BEARISH,True,0.020011,0.085788,0.023657,NEUTRAL,False
ARVN,2025-08-18,9.6,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.061367,0.327755,0.023657,WINNER,True
ARW,2025-08-18,8.4,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.035711,-0.035145,0.023657,LOSER,False
ASIX,2025-08-18,9.0,BULLISH,NO_DATA,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.042373,-0.021436,0.023657,NEUTRAL,False
ASTE,2025-08-18,7.6,BULLISH,NO_DATA,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.027367,0.019422,0.023657,NEUTRAL,False
ATGE,2025-08-18,8.4,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,,,0.023657,NO_DATA,
ATKR,2025-08-18,9.8,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.037294,0.130963,0.023657,NEUTRAL,False
ATO,2025-08-18,8.3,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.001706,0.081131,0.023657,LOSER,False
ATR,2025-08-18,7.5,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.023497,-0.062006,0.023657,LOSER,False
ATRO,2025-08-18,9.6,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.143836,0.319349,0.023657,WINNER,True
AUDC,2025-08-18,8.1,BULLISH,BEARISH,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,True,,,0.023657,NO_DATA,
AUPH,2025-08-18,9.9,BULLISH,NEUTRAL,NO_DATA,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.006547,-0.054828,0.023657,NEUTRAL,False
AVNS,2025-08-18,7.4,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.054222,0.016889,0.023657,WINNER,True
AVT,2025-08-18,9.1,BULLISH,BEARISH,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_MAJORITY_BEARISH,True,-0.01507,-0.019401,0.023657,LOSER,False
AWI,2025-08-18,9.6,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.000361,0.027649,0.023657,LOSER,False
AWR,2025-08-18,7.9,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.029881,0.020416,0.023657,LOSER,False
AX,2025-08-18,8.7,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.004242,-0.123008,0.023657,NEUTRAL,False
AXL,2025-08-18,7.1,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,,,0.023657,NO_DATA,
AXS,2025-08-18,9.2,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.000947,-0.026208,0.023657,LOSER,False
AYI,2025-08-18,9.8,BULLISH,NEUTRAL,BULLISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.063623,0.117064,0.023657,WINNER,True
AZZ,2025-08-18,9.9,BULLISH,BULLISH,BEARISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,True,0.003541,-0.132837,0.023657,LOSER,False
BAH,2025-08-18,8.3,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.06833,-0.100798,0.023657,LOSER,False
BAX,2025-08-18,7.4,BULLISH,NEUTRAL,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,True,-0.010471,-0.015163,0.023657,LOSER,False
BBAR,2025-08-18,8.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,,,0.023657,NO_DATA,
BBVA,2025-08-18,9.0,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.003146,0.026219,0.023657,LOSER,False
BBW,2025-08-18,9.5,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.253938,-0.022076,0.023657,WINNER,True
BCS,2025-08-18,7.8,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.023657,-0.045835,0.023657,NEUTRAL,False
BDC,2025-08-18,7.6,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.020357,-0.094081,0.023657,NEUTRAL,False
BEN,2025-08-18,8.7,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.033918,-0.098591,0.023657,LOSER,False
BFH,2025-08-18,9.0,BULLISH,NEUTRAL,BEARISH,NO_DATA,ESS_BULLISH_ANALYST_MAJORITY_BEARISH,True,0.025037,-0.021224,0.023657,NEUTRAL,False
BFST,2025-08-18,8.8,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.008414,-0.040387,0.023657,NEUTRAL,False
BGC,2025-08-18,7.8,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.050897,-0.099921,0.023657,LOSER,False
BGSF,2025-08-18,7.8,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,,,0.023657,NO_DATA,
BH,2025-08-18,8.6,BULLISH,NO_DATA,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.020752,0.190564,0.023657,NEUTRAL,False
BHE,2025-08-18,8.2,BULLISH,NO_DATA,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.008579,0.062533,0.023657,LOSER,False
BHP,2025-08-18,7.6,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.004866,0.040427,0.023657,LOSER,False
BIDU,2025-08-18,9.0,BULLISH,BEARISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MAJORITY_BEARISH,True,0.529236,0.331521,0.023657,WINNER,True
BIIB,2025-08-18,9.6,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.065926,0.052167,0.023657,WINNER,True
BILI,2025-08-18,9.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.105325,0.067061,0.023657,WINNER,True
BJ,2025-08-18,7.9,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.054306,-0.10261,0.023657,LOSER,False
BK,2025-08-18,8.2,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.051799,0.041675,0.023657,WINNER,True
BKH,2025-08-18,7.1,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.03082,0.045402,0.023657,LOSER,False
BKNG,2025-08-18,8.3,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.005651,-0.081933,0.023657,NEUTRAL,False
BKR,2025-08-18,8.0,BULLISH,NEUTRAL,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.084208,0.053884,0.023657,WINNER,True
BLBD,2025-08-18,9.6,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.004444,-0.073162,0.023657,LOSER,False
BLD,2025-08-18,9.9,BULLISH,NEUTRAL,BULLISH,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.036168,0.01709,0.023657,LOSER,False
BMBL,2025-08-18,9.9,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.087912,-0.171115,0.023657,WINNER,True
BMO,2025-08-18,9.0,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.147241,0.104705,0.023657,WINNER,True
BMRN,2025-08-18,7.1,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.053447,-0.072249,0.023657,LOSER,False
BMY,2025-08-18,9.5,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.042332,-0.082182,0.023657,LOSER,False
BNS,2025-08-18,9.0,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.136827,0.121175,0.023657,WINNER,True
BOOM,2025-08-18,9.9,BULLISH,BULLISH,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.170846,0.136364,0.023657,WINNER,True
BR,2025-08-18,8.4,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.05376,-0.116026,0.023657,LOSER,False
BRC,2025-08-18,8.7,BULLISH,NO_DATA,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.102099,0.038641,0.023657,WINNER,True
BRFS,2025-08-18,9.2,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,,,0.023657,NO_DATA,
BRO,2025-08-18,7.2,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.028857,-0.074144,0.023657,LOSER,False
BSRR,2025-08-18,8.7,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.02751,-0.075997,0.023657,NEUTRAL,False
BSX,2025-08-18,7.2,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.044153,-0.036972,0.023657,LOSER,False
BTI,2025-08-18,8.1,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.029279,-0.092701,0.023657,LOSER,False
BVN,2025-08-18,7.9,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.070194,0.38067,0.023657,WINNER,True
BWA,2025-08-18,9.1,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.063701,0.02542,0.023657,WINNER,True
BWB,2025-08-18,8.9,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.055432,0.075071,0.023657,WINNER,True
BY,2025-08-18,7.5,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.032411,-0.046249,0.023657,NEUTRAL,False
BYD,2025-08-18,8.8,BULLISH,BULLISH,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.000885,-0.006553,0.023657,LOSER,False
CADE,2025-08-18,7.3,BULLISH,BULLISH,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_FULL_AGREE,False,,,0.023657,NO_DATA,
CAH,2025-08-18,9.2,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.007013,0.048026,0.023657,LOSER,False
CAKE,2025-08-18,7.8,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.121731,-0.128673,0.023657,LOSER,False
CALM,2025-08-18,9.4,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.049403,-0.13168,0.023657,LOSER,False
CALX,2025-08-18,7.5,BULLISH,BULLISH,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.060889,0.02785,0.023657,WINNER,True
CART,2025-08-18,8.2,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.022648,-0.161803,0.023657,LOSER,False
CASH,2025-08-18,8.8,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.004766,-0.055079,0.023657,NEUTRAL,False
CATY,2025-08-18,7.4,BULLISH,NEUTRAL,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,0.027495,-0.030398,0.023657,NEUTRAL,False
CBOE,2025-08-18,8.5,BULLISH,NEUTRAL,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.036591,-0.025777,0.023657,LOSER,False
CBRE,2025-08-18,8.7,BULLISH,NEUTRAL,NO_DATA,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,0.041118,-0.004562,0.023657,NEUTRAL,False
CBRL,2025-08-18,7.2,BULLISH,NEUTRAL,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.1833,-0.343423,0.023657,LOSER,False
CBT,2025-08-18,8.7,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,-0.015068,-0.108737,0.023657,LOSER,False
CCBG,2025-08-18,7.7,BULLISH,BULLISH,NO_DATA,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.075063,-0.010813,0.023657,WINNER,True
CCJ,2025-08-18,8.7,BULLISH,NEUTRAL,BEARISH,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,True,0.064957,0.12718,0.023657,WINNER,True
CCK,2025-08-18,7.4,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.038746,-0.050683,0.023657,LOSER,False
CCRD,2025-08-18,7.4,BULLISH,NEUTRAL,NEUTRAL,NO_DATA,ESS_BULLISH_ANALYST_SKEPTICAL,False,,,0.023657,NO_DATA,
CDNS,2025-08-18,7.3,BULLISH,NEUTRAL,NEUTRAL,BULLISH,ESS_BULLISH_ANALYST_MIXED,False,-0.025207,-0.084575,0.023657,LOSER,False
CDW,2025-08-18,7.1,BULLISH,NEUTRAL,BULLISH,NEUTRAL,ESS_BULLISH_ANALYST_MIXED,False,0.012533,-0.077287,0.023657,NEUTRAL,False
CENTA,2025-08-18,9.9,BULLISH,BULLISH,NO_DATA,NO_DATA,ESS_BULLISH_ANALYST_FULL_AGREE,False,0.001247,-0.138049,0.023657,LOSER,False
CERS,2025-08-18,8.8,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,ESS_BULLISH_ANALYST_SKEPTICAL,False,-0.016,0.224,0.023657,LOSER,False
