symbol,is_portfolio_holding,ess_category,in_zacks_cache,in_smart_refresh_list,staleness_risk,notes
PRIM,True,BEARISH,True,False,HIGH,Held BEARISH position; Zacks stale; potential reduction candidate
PSX,True,NO_ESS,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
SANM,True,NO_ESS,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
SBS,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
SIMO,True,NO_ESS,True,False,MEDIUM - only signal source,No ESS; Zacks is sole signal; stale = no conviction data
SMR,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
SNX,True,VERY_BULLISH,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
SPAXX,True,NOT_IN_UNIVERSE,False,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
STLD,True,BULLISH,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
STNG,True,NO_ESS,True,False,MEDIUM - only signal source,No ESS; Zacks is sole signal; stale = no conviction data
TSLA,True,VERY_BEARISH,True,False,CRITICAL,Held VERY_BEARISH position; Zacks stale; reduction candidate
TSM,True,VERY_BULLISH,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
TTNDY,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
UHS,True,BULLISH,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
UTHR,True,NEUTRAL,True,False,MEDIUM,Held NEUTRAL position; Zacks stale
VB,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
VO,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
VOO,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
VRT,True,NO_ESS,True,True,LOW - refreshed daily,In smart refresh list (BULLISH/VERY_BULLISH or uncached)
VWO,True,NOT_IN_UNIVERSE,False,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
XRP,True,NOT_IN_UNIVERSE,True,False,N/A - non-equity,ETF/fund/crypto/cash; Zacks not applicable
XYZ,True,NEUTRAL,True,False,MEDIUM,Held NEUTRAL position; Zacks stale
YELP,True,NEUTRAL,True,False,MEDIUM,Held NEUTRAL position; Zacks stale
A,False,VERY_BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AAL,False,VERY_BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AAON,False,NO_ESS,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AAP,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AAPL,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ABBV,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ABCB,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ABG,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ACDC,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ACH,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ACNB,False,VERY_BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ACT,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ADBE,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ADI,False,NO_ESS,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ADP,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ADT,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
ADUS,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AES,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AGO,False,BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
AGX,False,VERY_BULLISH,True,True,LOW - refreshed daily,Non-holding in smart list (sample)
