symbol,covered_value,sentinel_value,winner_before_fix,winner_after_fix,ess_before,ess_after,ess_changed
CAL,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
CARS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CASY,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CBAN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CECO,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
CENX,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CF,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CHEF,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
CHMG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
CHRD,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CHWY,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CIEN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CIVB,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
CLAR,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CMI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CNC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CNK,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
CNQ,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
COCO,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
COLM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
COP,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
COST,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CRC,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CRDO,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CRGY,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CRI,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
CSTM,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CTBI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CTS,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CVE,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
CVX,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
DAR,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
DAVE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
DELL,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
DG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
DINO,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
DIOD,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
DK,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
DOW,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
DVA,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
DVN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
E,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
EFC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
EL,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
ELMD,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
EME,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ENOV,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ENVA,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
EOG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
EVLV,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
EXPD,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
EZPW,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FAF,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FANG,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FCFS,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
FET,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
FIVE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FIVN,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
FLEX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
FLYW,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FOXA,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
FRSH,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
FSS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
FTNT,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
FUN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
GHM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
GLW,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
GMED,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
GNRC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
GPRE,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
GRC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
GWRE,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
HCI,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
HCSG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
HELE,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
HG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
HGV,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
HPP,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
HRB,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
HTH,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
HTHT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
IDR,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
IMO,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
INDV,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
JYNT,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
KEYS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
KFRC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
KLIC,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
KMI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
KN,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
KOPN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
KSS,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
KVUE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LC,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
LFST,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LFUS,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
LITE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LMAT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LNG,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LNTH,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
LQDA,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
LSCC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LTH,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
LYB,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MCHP,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MCRI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MIAX,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
MKSI,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
MPC,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
MSBI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MTDR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
MTSI,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
MU,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MUSA,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
MYRG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
NATL,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
NCNO,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
NTRS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
NUE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
NVT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
NXST,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
OFG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
OMCL,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
OMER,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
ON,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ONTO,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
ORN,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
OSCR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
OSG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
OTTR,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
OVV,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
OXY,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PAYC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PBF,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
PBI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PBR,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PCTY,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
PENG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
PGNY,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PHIN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PLTR,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
PR,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
PRA,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
PRG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PRLB,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PRM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PRSU,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PSX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
PTEN,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
PWR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
R,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
RBB,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
RBC,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
RCMT,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
RDDT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
REPX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
ROP,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
RRC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
RUN,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
SANM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
SBUX,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
SCVL,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SFD,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SHBI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SHO,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SITM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
SLM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
SM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
SNDK,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SNEX,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
SNX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SSRM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
STRA,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
STT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
STX,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SU,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
SXT,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
TBPH,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
TBRG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
TCBK,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
TEAM,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
TEL,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
TER,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
THG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
TNDM,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
TNET,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
TNK,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
TPL,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
TPR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
TREE,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
TXN,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
UFCS,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
ULS,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
UMBF,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
UPBD,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
UVE,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
VAC,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
VFC,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
VICR,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
VIRT,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
VLO,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
VMI,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
VNOM,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
VPG,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
VREX,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
VRT,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
VSCO,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
VSH,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
WAFD,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
WDC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
WK,BEARISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BEARISH,YES
WKC,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
WMG,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
WST,BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,BULLISH,YES
XOM,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
YOU,VERY_BULLISH,,NON_STARMINE_ANALYST,STARMINE_COVERED,,VERY_BULLISH,YES
Z,NEUTRAL,,NON_STARMINE_ANALYST,STARMINE_COVERED,,NEUTRAL,YES
