symbol,ess_score_text,ess_numeric,ess_direction,zacks_rating,zacks_direction,danelfin_score,danelfin_direction,yahoo_abr,yahoo_direction,yahoo_upside_pct,replay_supported,composite_score,ucf_label,ucf_score,conflict_flag,majority_direction,ess_agrees_majority,zacks_agrees_majority,danelfin_agrees_majority,yahoo_agrees_majority,signal_count_bullish,signal_count_bearish,signal_count_neutral,disagreement_level,disagreement_type,notes
HCI,BULLISH,4,BULLISH,4.0,BULLISH,2.5,NEUTRAL,,N/A,,,3.833333,TACTICAL_GROWTH,55.32,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,BULLISH,Y,Y,N,N/A,2,0,1,ALIGNED,ESS_vs_Danelfin|Zacks_vs_Danelfin,
IVZ,BULLISH,4,BULLISH,3.0,NEUTRAL,3.0,NEUTRAL,2.42,NEUTRAL,,,3.611111,TACTICAL_GROWTH,53.03,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,MIXED,N,N,N,N,1,0,3,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin|ESS_vs_Yahoo,
JBL,BULLISH,4,BULLISH,3.0,NEUTRAL,3.5,NEUTRAL,1.60,BULLISH,,,3.666667,TACTICAL_GROWTH,53.78,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,MIXED,N,N,N,N,2,0,2,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin,
KGC,BEARISH,2,BEARISH,3.0,NEUTRAL,5.0,BULLISH,1.67,BULLISH,,,2.611111,TACTICAL_GROWTH,20.05,none,BULLISH,N,N,Y,Y,2,1,1,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,ESS BEARISH vs Danelfin=5.0 (maximum bullish); Zacks neutral at 3.0; ESS dominates composite to 2.61
LMAT,BULLISH,4,BULLISH,4.0,BULLISH,2.0,BEARISH,2.11,NEUTRAL,,,3.777778,TACTICAL_GROWTH,54.1,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,BULLISH,Y,Y,N,N,2,1,1,ALIGNED,ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,
LRCX,VERY_BULLISH,5,BULLISH,4.0,BULLISH,3.0,NEUTRAL,1.53,BULLISH,,,4.5,HIGH_CONVICTION_ANCHOR,90.38,none,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
MCB,,,N/A,,N/A,3.5,NEUTRAL,,N/A,,,3.5,TACTICAL_GROWTH,49.75,REPLAY_LOSS,MIXED,N/A,N/A,N,N/A,0,0,1,N/A,none,
MKSI,BULLISH,4,BULLISH,5.0,BULLISH,3.0,NEUTRAL,1.75,BULLISH,,,4.166667,TACTICAL_GROWTH,57.84,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
MSFT,BULLISH,4,BULLISH,3.0,NEUTRAL,1.5,BEARISH,1.31,BULLISH,,,3.444444,MAINTAIN,57.92,CONVICTION_OW_TENSION|SIGNAL_TIER_MISMATCH,BULLISH,Y,N,N,Y,2,1,1,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin|Zacks_vs_Danelfin,
NUE,BULLISH,4,BULLISH,5.0,BULLISH,2.5,NEUTRAL,1.76,BULLISH,,,4.111111,HIGH_CONVICTION_ANCHOR,88.31,none,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
NVDA,BULLISH,4,BULLISH,3.0,NEUTRAL,5.0,BULLISH,1.30,BULLISH,,,3.833333,HIGH_CONVICTION_ANCHOR,71.38,CONVICTION_OW_TENSION,BULLISH,Y,N,Y,Y,3,0,1,MINOR,ESS_vs_Zacks|Zacks_vs_Danelfin,ESS BULLISH vs Danelfin=5.0; CONVICTION_OW_TENSION; Yahoo Strong Buy agrees with Danelfin
PCB,VERY_BULLISH,5,BULLISH,3.0,NEUTRAL,4.0,BULLISH,,N/A,,,4.333333,HIGH_CONVICTION_ANCHOR,89.4,none,BULLISH,Y,N,Y,N/A,2,0,1,MATERIAL,ESS_vs_Zacks|Zacks_vs_Danelfin,ESS VERY_BULLISH vs Zacks HOLD (3.0); composite=4.33; Danelfin confirms bullish
PLTR,NEUTRAL,3,NEUTRAL,4.0,BULLISH,1.5,BEARISH,1.90,BULLISH,,,3.111111,TACTICAL_GROWTH,44.41,none,BULLISH,N,Y,N,Y,2,1,1,MINOR,ESS_vs_Zacks|ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,ESS NEUTRAL vs Zacks Buy (4.0); composite=3.11; momentum_c=0 due to neutral ESS
PRG,VERY_BULLISH,5,BULLISH,5.0,BULLISH,2.5,NEUTRAL,,N/A,,,4.722222,TACTICAL_GROWTH,61.0,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,BULLISH,Y,Y,N,N/A,2,0,1,ALIGNED,ESS_vs_Danelfin|Zacks_vs_Danelfin,
PRIM,BEARISH,2,BEARISH,1.0,BEARISH,5.0,BULLISH,1.86,BULLISH,,,2.055556,TRIM_WATCH,17.5,none,MIXED,N,N,N,N,2,2,0,MINOR,ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,ESS BEARISH + Zacks SELL vs Danelfin=5.0; rare 2-source bear vs 1-source strong bull
PSX,VERY_BULLISH,5,BULLISH,5.0,BULLISH,2.5,NEUTRAL,2.15,NEUTRAL,,,4.722222,HIGH_CONVICTION_ANCHOR,92.07,none,MIXED,N,N,N,N,2,0,2,ALIGNED,ESS_vs_Danelfin|ESS_vs_Yahoo|Zacks_vs_Danelfin,
SANM,BULLISH,4,BULLISH,5.0,BULLISH,4.0,BULLISH,,N/A,,,4.277778,HIGH_CONVICTION_ANCHOR,89.53,none,BULLISH,Y,Y,Y,N/A,3,0,0,MINOR,none,
SBS,,,N/A,4.0,BULLISH,3.0,NEUTRAL,1.29,BULLISH,,,3.714286,HIGH_CONVICTION_ANCHOR,64.65,CONVICTION_OW_TENSION,BULLISH,N/A,Y,N,Y,2,0,1,N/A,Zacks_vs_Danelfin,
SIMO,,,N/A,5.0,BULLISH,3.5,NEUTRAL,,N/A,,,4.571429,HIGH_CONVICTION_ANCHOR,77.02,CONVICTION_OW_TENSION,MIXED,N/A,N,N,N/A,1,0,1,N/A,Zacks_vs_Danelfin,
SNX,VERY_BULLISH,5,BULLISH,5.0,BULLISH,3.0,NEUTRAL,1.55,BULLISH,,,4.777778,HIGH_CONVICTION_ANCHOR,92.14,none,BULLISH,Y,Y,N,Y,3,0,1,ALIGNED,ESS_vs_Danelfin|Zacks_vs_Danelfin,
STNG,,,N/A,5.0,BULLISH,4.0,BULLISH,1.33,BULLISH,,,4.714286,HIGH_CONVICTION_ANCHOR,77.58,CONVICTION_OW_TENSION,BULLISH,N/A,Y,Y,Y,3,0,0,N/A,none,
TSLA,VERY_BEARISH,1,BEARISH,2.0,BEARISH,1.5,BEARISH,2.36,NEUTRAL,,,1.333333,TRIM_WATCH,19.51,none,BEARISH,Y,Y,Y,N,0,3,1,MINOR,ESS_vs_Yahoo,ESS VERY_BEARISH + Danelfin=1.5 bearish; broad agreement on weak thesis
TSM,VERY_BULLISH,5,BULLISH,3.0,NEUTRAL,5.0,BULLISH,1.47,BULLISH,,,4.444444,HIGH_CONVICTION_ANCHOR,76.6,CONVICTION_OW_TENSION,BULLISH,Y,N,Y,Y,3,0,1,MATERIAL,ESS_vs_Zacks|Zacks_vs_Danelfin,ESS VERY_BULLISH vs Zacks HOLD (3.0); composite=4.44; CONVICTION_OW_TENSION flag
VRT,VERY_BULLISH,5,BULLISH,4.0,BULLISH,3.5,NEUTRAL,1.50,BULLISH,,,4.555556,CORE_CONVICTION_LEADER,91.13,none,BULLISH,Y,Y,N,Y,3,0,1,MINOR,ESS_vs_Danelfin|Zacks_vs_Danelfin,
