symbol,cw_rank,cw_score,psr_rank,pss_score,composite_score,current_weight_pct,replay_days,norm_cwdas,norm_pss,blend_A,blend_B,blend_C,blend_D,rank_A,rank_B,rank_C,rank_D,alloc_A,alloc_B,alloc_C,alloc_D,delta_rank_B,delta_rank_C,delta_rank_D,alloc_delta_B,alloc_delta_C,alloc_delta_D
YELP,27,86.43,32,62.56,3.444,0.1789,261,69.61,49.54,69.61,65.60,61.58,59.57,27,29,29,29,511.54,493.19,493.19,493.19,-2,-2,-2,-18.35,-18.35,-18.35
DVN,28,86.42,16,66.89,3.611,0.9375,261,69.58,65.02,69.58,68.67,67.76,67.30,28,25,24,23,502.26,532.65,544.58,558.28,3,4,5,30.39,42.32,56.02
UTHR,29,86.36,33,62.56,3.444,0.2326,261,69.38,49.54,69.38,65.41,61.44,59.46,29,30,30,30,493.19,484.11,484.11,484.11,-1,-1,-1,-9.08,-9.08,-9.08
ANIP,30,86.22,25,65.44,3.556,0.8314,261,68.91,59.84,68.91,67.10,65.28,64.37,30,27,27,27,484.11,511.54,511.54,511.54,3,3,3,27.43,27.43,27.43
AZZ,31,86.10,34,62.56,3.444,0.4281,261,68.51,49.54,68.51,64.71,60.92,59.02,31,31,31,31,475.58,475.58,475.58,475.58,0,0,0,0.00,0.00,0.00
CVE,32,83.79,30,62.67,4.833,2.4088,4,60.77,49.93,60.77,58.60,56.43,55.35,32,32,33,33,0.00,0.00,0.00,0.00,0,-1,-1,0.00,0.00,0.00
TSM,33,81.61,17,66.56,4.444,2.2900,4,53.47,63.84,53.47,55.54,57.62,58.65,33,33,32,32,0.00,0.00,0.00,0.00,0,1,1,0.00,0.00,0.00
GTX,34,80.47,40,54.33,4.167,1.8955,4,49.65,20.10,49.65,43.74,37.83,34.87,34,36,36,36,0.00,0.00,0.00,0.00,-2,-2,-2,0.00,0.00,0.00
MU,35,78.16,28,64.78,4.722,6.0421,4,41.91,57.47,41.91,45.02,48.14,49.69,35,35,35,35,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
ASML,36,78.09,26,65.33,4.667,0.6818,4,41.68,59.44,41.68,45.23,48.78,50.56,36,34,34,34,0.00,0.00,0.00,0.00,2,2,2,0.00,0.00,0.00
STNG,37,76.16,38,56.71,4.714,0.4680,4,35.21,28.61,35.21,33.89,32.57,31.91,37,37,37,37,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
SIMO,38,75.53,39,54.57,4.571,0.2980,4,33.10,20.96,33.10,30.67,28.24,27.03,38,38,38,38,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
AVGO,39,72.10,37,56.78,3.722,0.9266,4,21.61,28.86,21.61,23.06,24.51,25.24,39,39,39,40,0.00,0.00,0.00,0.00,0,0,-1,0.00,0.00,0.00
MSFT,40,70.43,41,49.56,3.444,0.9312,4,16.01,3.04,16.01,13.42,10.82,9.53,40,41,41,41,0.00,0.00,0.00,0.00,-1,-1,-1,0.00,0.00,0.00
NVDA,41,69.74,36,59.67,3.833,3.1954,4,13.70,39.20,13.70,18.80,23.90,26.45,41,40,40,39,0.00,0.00,0.00,0.00,1,1,2,0.00,0.00,0.00
SBS,42,65.65,42,48.71,3.714,3.8489,4,0.00,0.00,0.00,0.00,0.00,0.00,42,42,42,42,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
